0,CombatZoneResize,179,251,464,391,
0,HeartTeleport,320,324,,,
0,HeartMode,0,,,,
0.3,HeartTeleport,240,324,,,
0,HeartMode,1,,,,
0,BoneV,317,256,55,0,0
0,BoneV,317,346,40,0,0
0,BoneV,305,356,30,0,0
0,BoneV,330,356,30,0,0
,,,,,,
0,SET,Loop,15,,,
0.9,RND,Jump,2,,,
0,ADD,Jump,$Jump,1,,
0,JMPREL,$Jump,,,,
0,JMPREL,2,,,,
0,JMPREL,4,,,,
0,BoneStab,0,115,0.9,0.2,
0,SUB,Loop,$Loop,1,,
0,JMPREL,3,,,,
0,BoneStab,2,115,0.9,0.2,
0,SUB,Loop,$Loop,1,,
0,JMPNZ,12,$Loop,,,
,,,,,,
,,,,,,
,,,,,,
0.5,EndAttack,,,,,
